ARMOR CINE,1,339,22054
AMITIE,2,366,67130
REX,1,217,12096
KORRIGAN,1,137,22055
ROTONDE A,3,400,91223
CINETAMPES,1,146,91223
LA RIVIERE,1,223,56055
ALPHA,1,172,23076
ROYAL,1,162,74119
PATHE EVREUX 1,10,2395,27229
CINEMA YVES ROBERT,3,447,53097
MEGA CGR 1,10,2052,91228
REX SLE ST SYMPHORIENNE,1,200,74121
LE GRENIER DE L'ALCAZAR,1,132,13035
JEAN GABIN,1,135,87064
JEAN RENOIR,1,169,33162
CINEMA MUNICIPAL,1,150,11140
ENTRACTE,1,198,14258
CINE ELLE LE FAOUET,1,326,56057
ESPACE CULTUREL,1,254,83055
LE GRAND LARGE 1,4,710,76259
VOLTAIRE 1,3,435,1160
ROC,1,172,85089
LE PALACE 1,2,232,72132
GERARD PHILIPE,1,182,61168
CINEMA JEAN RACINE,1,119,2307
CINE FEURS,1,141,42094
CHARLES BOYER,1,317,46102
MAJESTIC,2,837,42095
NOTRE DAME DES SALLE,1,0,83057
LE KID 1,2,230,72154
VIKING 1,4,849,61169
GD ANGLE 1,2,157,32132
REX,1,141,9122
CENTRE CULTUREL,1,463,9122
SALLE FETES,1,150,39228
ERMITAGE 2,5,944,77186
MEGA CGR 1,8,1501,86100
L' IGLOO,1,250,73116
LE SCARRON,1,198,92032
CINEMA LE RENAISSANCE,3,520,85092
THEATRE FONTENAY,1,346,78242
LE KOSMOS,1,182,94033
CASINO,1,237,66124
EDEN,1,135,13038
PARIS 1,5,774,57227
LE BOURGUET,1,105,4088
ESPACE JEAN BAUCHET,1,699,76276
VOX,1,289,80333
MAX LINDER,2,392,13039
CINEMA DE  L'YSIEUX,1,195,95250
LE CLUB,5,900,35115
CASINO,1,282,17168
SUN 7 CINE,1,133,59249
L'EMBELLIE,1,174,73117
